source,cleaned_text
CFN,shift focus different moment hashtag_coronavirusoutbreak update run timeline response virus reply we recent trump moment think belong run list
CFN,doctor image president donald trump share claim ask people chant hare krishna hare rama
CFN,hashtag_fourthofjuly weekend choose spend time outdoors event gather stay ft apart wear cloth face cover slow spread hashtag_covid learn
CFN,cdc recommend mother stop breastfeed boost vaccine efficacy
CFN,singapore airline hault flight due coronavirus outbreak
CFN,florida governor ron desantis botch covid response ban corona beer order flatten pandemic curve
CFN,apologise government ekiti state error remain committed improve quality control process ensure accurate transparent reporting case
CFN,nyt invent video doctor fight coronavirus hospital
CFN,may break k case day today south alone report
CFN,alert americans coronavirus symptom ask cough directly onto president trump
CFN,launch hashtag_covid solidarity response fund far mobilize individual company philanthropy addition mobilize billion member state generous support country
CFN,football player cristiano ronaldo turn hotel hospital help coronavirus patient pay doctor staff
CFN,include test asymptomatic worker involve manage isolation quarantine airport border staff part wide surveillance measure expect operational early july
CFN,want national lockdown hashtag_coronavirus continue progress uk pm say govt take measure insist want second national lockdown read
CFN,daily update publish state report k test k case death
CFN,hashtag_indiafightscorona new recovery india exceed new case consecutive day hashtag_covid
CFN,top state high active caseload also one presently report high level recovery
CFN,currently people manage isolation quarantine current effective capacity give we excess capacity next week project arrival departure facility
CFN,school struggle cope lack hashtag_covid test new infection increase since become compulsory pupil return get child test virus explainer backhandindexpointingdown
CFN,scientist astrazeneca complain work coronavirus vaccine keeps delay noddy holder ring ask ready christmas
CFN,mask help prevent spread hashtag_covid widely use public wear mask help protect around other wear one help protect people around incl hashtag_wearamask hashtag_doyourpart hashtag_worldmaskweek
CFN,new case hashtag_covidnigeria lago gombe plateau kwara enugu ogun katsina ekiti bauchi osun river confirm discharged death
CFN,already coronavirus simple test
CFN,rt hashtag_indiafightscorona high number sustain recovery india surge ahead high single day recovery nearl
CFN,italy surrender coronavirus pandemic measure control covid exhaust
CFN,president trump forced wear protective medical mask hashtag_donaldtrump hashtag_coronavirus hashtag_cia hashtag_fbi hashtag_iud
CFN,rt coronavirus misinformation move offline reddit user post flyer site tell we delive
CFN,orwell dead living bridge continue hashtag_government hashtag_toiletpaper hashtag_georgeorwell hashtag_coronavirus
CFN,resident york ask think new government rule allow people england may hashtag_covid fine fail selfisolate read click
CFN,central government give permission school reopen
CFN,today total approve labs hashtag_covid testing consist govt pvt labs hashtag_covidteste hashtag_covid hashtag_covid hashtag_covid hashtag_covid hashtag_covidindia hashtag_covidupdate hashtag_coronavirus hashtag_coronaupdate hashtag_coronavirusindia
CFN,government come pressure lack availability hashtag_covid test read
CFN,few kid die since lockdown new white paper examine
CFN,million case hashtag_covid report almost death although country affect continue see intense transmission relatively small group country
CFN,justin trudeau resign amidst coronavirus pandemic
CFN,george soros one people responsible new coronavirus bear laboratory
CFN,sensitivity test definitely something specialist talk see real number also look hard thing
CFN,expert call claim cow dungurine yoga ayush prevent treat covid
CFN,main mode transmission hashtag_novel hashtag_coronavirus droplet possible infect smoker may blow droplet carry virus exhale regardless hashtag_covid steer clear secondhand smoke may cause various health problem
CFN,article claim bill gates vaccine would modify human dna
CFN,rt hashtag_dyk hashtag_handwash remain one good way prevent spread virus like hashtag_covid keycap thing
CFN,accord state health department hashtag_haryana hashtag_covid hashtag_recoveryrate hashtag_gurugram hashtag_covid hashtag_covid hashtag_covid hashtag_coronaupdate hashtag_coronavirusindia hashtag_coronavirusupdate hashtag_coronavirus hashtag_covidupdate
CFN,daily update publish sunday monday tend see number dipand see today still k case rise hospitalization large jump death last sunday holiday number day average back
CFN,total number confirm case covid number report world health organization
CFN,brazailian parliament go hospital take covid patient find empty
CFN,multiple post share thousand time facebook twitter youtube claim salt effective remedy novel coronavirus
CFN,un secretarygeneral antonio guterre say hashtag_covid pandemic dramatically derail sustainable development goal put question progress make eradication poverty hunger late world news
CFN,instagram post claim covid test taint coronavirus circulation many month
CFN,across state report track hospitalization bulk new york louisiana florida also grow number hospitalization
CFN,philippine senator grace poe risa hontiveros silent coronavirus crisis vocal closure abscbn
CFN,hashtag_indiafightscorona india total recovery continue rise cross lakh today state contribute total case active case total fatality report india hashtag_staysafe hashtag_indiawillwin
CFN,important consequence see covid syndemic underline social origin vulnerability old citizen black asian minority ethnic community key worker commonly poorly pay few welfare protection
CFN,rt hashtag_indiafightscorona scales covid testing capacity lakh test per day country tota
CFN,video show italian doctor say nobody die coronavirus italy dangerous flu
CFN,seasonal influenza vaccination mandatory georgia fall covid mortality rate significantly low fatality cause virus
CFN,say case mt roskill evangelical fellowship group case bereavement subcluster include case whose source infection bereavement event
CFN,one new zealand receive hospitallevel care covid yesterday laboratory complete test bring total number test complete date hashtag_covid hashtag_covidnz hashtag_covid
CFN,pm th april breakdown case state lago fct kano osun oyo edo ogun kwara katsina bauchi kaduna akwa ibom delta ekiti ondo enugu river niger benue anambra borno jigawa
CFN,big change data number covid patient currently hospitalize addition florida k hospitalization see number since first week mayand seem likely decline soon
CFN,loudspeaker hashtag_coronavirusupdate roundpushpin hashtag_covid india tracker september rightarrowconfirmed case rightarrowrecovere thumbsup rightarrowactive case rightarrowdeath hashtag_indiafightscorona hashtag_indiawillwin hashtag_staysafe via
CFN,person coronavirus galicia
CFN,india test lakh sandlesday hashtag_covid enable commitment set laboratory expand testing mechanism detail visit hashtag_icmrfightscovid hashtag_indiafightscorona
CFN,claim jordanian health minister say covid conspiracy video
CFN,pregnant woman covid high rate premature birth
CFN,solidarity trial also underway many country project complete control hashtag_covid effectively easy due availability proper medicine vaccine etc control various infectious disease across world
CFN,covid update new case covid report new zealand today day since last case covid acquire locally unknown source
CFN,compare number complete test report new mexico state population times small california number even close yet
CFN,case community auckland base connect exist outbreak close contact case already report new case household contact previously report case still investigation gp mt wellington
CFN,precautionary message one catch fire due hand sanitizer high amount alcohol message also show hands lady apply sanitizer go near stove end burn hand
CFN,bring new zealand total number active case manage isolation quarantine facility case community nz total number confirm case covid number report
CFN,say rudy giuliani buy share novartis primary supplier hydroxychloroquine early february
CFN,student pondicherry university india find home remedy covid accept world health organization
CFN,footballer ronaldo turn hotel covid hospital
CFN,hashtag_coronavirusupdate india record high ever single day peak hashtag_covid recovery hashtag_indiafightscorona total recovery cross lakh recovery exceed active case lakh
CFN,cough fever runny nose symptom come suddenly good chance could hashtag_flu watch find next hashtag_fightflu
CFN,president trump say panda responsible covid hashtag_donaldtrump hashtag_china hashtag_coronavirus hashtag_zoo hashtag_panda
CFN,today active hashtag_covid case hashtag_mumbai district hashtag_maharastra hashtag_covid hashtag_covid hashtag_covid hashtag_coronaupdatesinindia hashtag_coronavirus hashtag_coronavirusupdate hashtag_coronaviruspandemic
CFN,public health england weekly hashtag_coronavirus report show rise almost rhinovirus infection include common cold last week
CFN,image suspect coronavirus vaccine cause covid
CFN,people likely other become severely ill hashtag_covid mean may require hospitalization intensive care ventilator help breathe severely ill people may die learn
CFN,camila pitanga brazilian actress contract covid say catch malaria could take chloroquine without admit wrong
CFN,new coronavirus cause sudden death syndrome
CFN,hashtag_indiafightscorona roundpushpin increase gap hashtag_covid recover active case india may september backhandindexpointingdown hashtag_staysafe hashtag_indiawillwin
CFN,coronavirus party deadly consequence
CFN,cabinet office minister michael gove say nothere go shift emphasis work home new hashtag_covid restriction hashtag_kayburley get late hashtag_coronavirus news
CFN,well report quite effectively refuse put number table dashboard reason beyond
CFN,look number like yesterday one state california drive huge increase number seem much solid drive number state report large number test complete
CFN,india lose individual coronavirus till date view rise coronavirus case bihar government extend lockdown state till september nationalist congress party chief sharad pawar residence four people test positive hashtag_coronavirus
CFN,bill gates profit vaccination wants reduce world population
CFN,hashtag_indiafightscorona hold virtual meeting today state ut ensure adequate oxygen availability healthcare facilities unrestricted intra well inter state movement oxygen read detail hashtag_staysafe hashtag_indiawillwin
CFN,hashtag_hcp attend next coca call tuesday aug pm et via zoom topic covid telehealth implementation story field learn hashtag_covid
CFN,healthy yearold boy lose life hashtag_covid day
CFN,important part work datum collection analysis pm every day data team collate result receive testing laboratory inform nigerian number new hashtag_covid case result receive time report next day
CFN,finally launch first real version covid racial data tracker partnership major effort project volunteersand hope useful community across country
CFN,acc hashtag_incubation period hashtag_covid time exposure novel hashtag_coronavirus become infect symptom onset day median estimate day long day hashtag_coronavirus hashtag_covid hashtag_covid
CFN,nasal flu vaccine side effect cause covid
CFN,today case bring combine total confirm probable covid case people report recover today two people hospital one middlemore north shore hospital neither icu
CFN,new publication rightarrow hashtag_covid pandemic could cause hashtag_hiv treatment interruption allow increase new infection rightarrowprogram plan avoid risk save life japanesesymbolforbeginnerfull report authors jennifersmith timothyhallett
CFN,transparency leader vital crisis must access datum make informed decision behavior change az resident access datum model projection
CFN,one nz receive hospital level care covid yesterday laboratory complete test bring total number test complete minister advise reassure number continue increase come day
CFN,rapid response team work nfeltp strengthen community testing hashtag_covid lgas team provide support newly reactivate lga walkin testing site increase testing capacity access awareness hashtag_covid grassroot level
CFN,new recover case report five state viz maharashtra tamil nadu andhra pradesh karnataka uttar pradesh maharashtra alone contribute andhra pradesh contribute new recovery
CFN,claim india begin screen passenger hashtag_covidaffecte country single case pm modi fact govt mandate universal screen internat l flight march case detect across indian state
CFN,say coronavirus military bioweapon develop china army
CFN,indore india police doctor inject coronavirus positive blood muslim
CFN,photo vaccine develop we scientist covid
CFN,video clip show doctor couple die treat covid patient
CFN,death report bring total dataset include probable covid death report nyc new york state work separate accounting labconfirme probable death state
CFN,youth sport organization resume activity plan player visitor coach get sick hashtag_covid cdc offer tip protect health safety staff player visitor involve youth sport tip
CFN,one politician die virus
CFN,hashtag_indiafightscorona health ministry review covid management response district across state exhibit high caseload fatality
CFN,covid
CFN,leak report say many human planet hashtag_globalwarme hashtag_coronavirus hashtag_conspiracy
CFN,another current know data problem washington state rocksolid reporting early part outbreak system got gum see new update state day
CFN,india spray pesticide night prevent covid
CFN,home ministry declare post coronavirus declare punishable offense
CFN,refuse hashtag_socialdistance sign pledge bypass care get ill hashtag_coronavirus via
CFN,rt use bleach solution disinfect product food currently case hashtag_covid identifie
CFN,free coronavirus test kit available hashtag_health hashtag_coronavirus
CFN,dispel doubt raise failure one vaccine clinical trial say trial continue expert committee reappraisal significant mutation sarscov india icmr actively explore salivabased test covid
CFN,thirtynine gps specialist write bmj call action long covid
CFN,scientist express cautious optimism covid vaccine ready go late spring although unclear much long would take distribute vaccine widely
CFN,want context hospitalization datum situation check weekly roundup tackle transitional period produce erratic artificially deflated hospitalization datum
CFN,hashtag_coronavirusupdate hashtag_covid testing status update state sandle test upto september sandle test september hashtag_staysafe hashtag_indiawillwin
CFN,video show first infect patient covid dhanbad hospital
CFN,say daniel radcliffe coronavirus
CFN,today total active hashtag_covid case india sandle test today till pm hashtag_covid hashtag_lakshadweep report single case till date hashtag_arunachalpradesh hashtag_mizoram report hashtag_covid case last hrs
CFN,trump coronavirus may end november rd hashtag_dranthonyfauci hashtag_smallpox
CFN,hashtag_coronavirus scientist believe hashtag_coronavirus affect body
CFN,former rep trey gowdy write essay past social medium claim covid pandemic plan help democrats election
CFN,health equity everyone opportunity healthy possible must address longstanding inequity put racial ethnic group high risk hashtag_covid learn cdc covid hashtag_healthequity strategy
CFN,product page offer toxic chlorine dioxide industrial bleach often sell name miracle mineral solution hashtag_covid cure report guardian
CFN,recent date confirm data north carolina may th infection rate mean covid case slowly increase
CFN,possible vaccine could available end year csa patrick vallance say vaccine could available small amount certain group add amore likely see vaccine first half next year
CFN,phase dose allocate proportionally participate country simultaneously reduce overall risk phase consideration give country relation threat vulnerability hashtag_covid
CFN,great news hashtag_carona virus vaccine ready able cure patient within hour injection hat we scientist right trump announce roche medical company launch vaccine next sunday million dose ready note message require confirmation
CFN,state report death trend good
CFN,new case hashtag_covid lago oyo fct niger borno jigawa kaduna anambra edo river nasarawa bauchi benue zamfara case hashtag_covid nigeria discharge death
CFN,twofold increase mortality among coronavirus patient hashtag_hypertension
CFN,july last day state report new hashtag_covid case wear cloth face covering keep ft other wash hand often interested datum state see covid datum tracker
CFN,covid never go away beach today raleigh north carolina
CFN,pope francis die coronavirus
CFN,new case hashtag_covidnigeria lagos plateau oyo fct edo kaduna enugu ogun kano kwara cross river ondo river ekiti imo borno confirm discharge death
CFN,people offer prayer group rooftop despite lockdown case coronavirus india continuously increase
CFN,access hashtag_covid tool act accelerator aim provide equitable access tool tackle form hashtag_covid disease asymptomatic mild severe disease
CFN,positive rate fall lot since early april back like lot change drive rise test plummet positive rate northeast
CFN,rt uk government announce million support prof robin shattock team phase two trial
CFN,open vacancy nurse doctor health professional work temporary hospital paulo use treat covid case
CFN,photo funeral recently deceased sri lankan politician arumugam thondaman share thousand time multiple facebook post post claim image show one thondaman daughter violate sri lanka mandatory coronavirus quarantine policy traveler attend ceremony shortly return country overseas
CFN,morning identify close contact tokoroa health professional currently hospital covid already contact expect contact remainder today
CFN,last place free hashtag_covid pacific help country region step effort prepare arrival covidbackhandindexpointingright hashtag_whoimpact
CFN,new covidview report hospitalization rate death hashtag_covid increase indicator track hospitalization death usually lag behind indicator track illness
CFN,true coronavirus cause sore throat gargle salt warm water may make feel well direct effect virus hashtag_covid hashtag_afaracare
CFN,dna vaccine show work rhesus monkey expose vaccinate monkey covid less virus lung read study gt
CFN,important strategy deal doomsday scenario hashtag_covid flu measle
CFN,old child seem spread covid like adult
CFN,grateful support provide ambulance nigeria hashtag_covid response use port health service kano edo oyo state emergency operation centre expand current capacity transportation case
CFN,sadly people hospital today around country covid two ward north shore hospital two icu one north shore one waikato hospital hope everyone full speedy recovery
CFN,indian politician uddhav thackeray ask christians pray jesus stop covid
CFN,average number case nationwide flatten past week break downward trend see begin august
CFN,positive coronavirus case nagpur along three doctor one ventilator
CFN,late cdc hashtag_covidview report show minority population like american indian black hispanic continue hospitalize hashtag_covid nearly time rate nonhispanic white counterpart learn
CFN,kia ora new zealand resident citizen child partner permit enter new zealand
CFN,hashtag_indiafightscorona test track treat effective implementation centre statesut ensure india one low hashtag_covid case death per million population compare several country
CFN,hashtag_indiafightscorona union health ministry urge statesut ensure restriction impose movement medical oxygen state
CFN,study covid likely mix seattle early flu season
CFN,photo show people infect coronavirus lie sidewalk china
CFN,hashtag_indiafightscorona active case total hashtag_covid case recovery lakh exceed active case lakh
CFN,state like new york illinois california vocal demand funding bail pension system fail long covid outbreak program relate crisis
CFN,news antivaxxer close decide medical condition pretend cause coronavirus vaccine
CFN,hashtag_coronavirusupdate roundpushpintotal hashtag_covid case india september playbutton cureddischargedmigrate playbutton active case playbutton death total covid confirm case cureddischargedmigratedactive casesdeath
CFN,new case hashtag_covid lago fct bauchi river oyo kaduna gombe edo ogun jigawa enugu kano osun ondo case hashtag_covidnigeria discharge death
CFN,florida number today include large number backlogge test state say
CFN,local lockdown measure impose welsh county rhondda cynon taf rise coronavirus case
CFN,announce algeria outside danger regard covid
CFN,state report nearly k case today day may positive rate high since late may
CFN,vast majority student st dominic casual contact test precaution student staff well symptom covid need selfisolate waiting test result
CFN,prime minister boris johnson say government shortly set priority group think covid test follow live update pm face question liaison committee
CFN,antibodie common cold produce positive covid test falsepositive result covid antibody test behind covid case report we
CFN,child year represent report hashtag_covid case death compare age group usually mild disease backhandindexpointingright
CFN,man beat deoria india lockdown time
CFN,daily update publish track million test k yesterday note track test state report detail see
CFN,coronavirus like broken leg
CFN,photo show masse flee myanmar thailand due coronavirus pandemic
CFN,georgia particularly worrisome state see large rise report death despite rise infection steep hospitalization curve today state report secondhighest death since begin pandemic high number since april
CFN,new finding confirm early research show major increase physician employment hospital past decade
CFN,ireland entire cabinet restrict movement health minister feel unwell test hashtag_coronavirus report
CFN,backdrop lockdown video wild animal take road surface internet among set picture herd deer round social medium claim picture lake club chandigarh
CFN,report death toll today last friday two state report death today ny pa
CFN,one optimistic point state leave side chart find positive case even lot testing suggest mitigation strategy work
CFN,thank extremely insightful one two trust website follow provide good summary update covid follow really good job recent video tout importance vitamin elderberry among thing
CFN,florida break new york day average record case per million population today testing capacity obviously much much great spring however still stunning see record fall
CFN,outbreak continue many people united states point time either year next expose hashtag_covid likely many become sick people likely mild illness
CFN,sir ganga ram hospital direct patient stay home n treat urself imply delhi govt miserably fail administrative responsibility provide health care n leave delhite fate must sack n lg take charge u agree
CFN,one previously report case consider recover total number active case import case miq facility community case
CFN,joe diffie death label covid death
CFN,modeling assumption assume baseline general hospital occupancy rate across hospital account hospitalize noncovid patient assume hospital increase available bed covid patient roughly double
CFN,bame doctor uk still give access potentially lifesave covid risk assessment
CFN,daily update publish state report k test k case death
CFN,doctor name leslie chow discover coronavirus die contact coronavirus patient
CFN,though number new case remain relatively flat regional datum show steady state new case region scale population
CFN,yesterday lab process test total number test complete date people link community cluster auckland quarantine facility include people test positive household contact
CFN,coronavirus hospital urgent plea people go havery busy e covid test
CFN,rightmove say activity aid current stand duty holiday drive high demand garden space work home hashtag_covid disrupt daytoday life
CFN,say covid virus
CFN,anyone flight facility time case treat close contact test isolate negative result receive
CFN,state provide negative result frequency comprehensiveness point think positive rate important indicator
CFN,new case hashtag_covidnigeria lagos fct plateau kaduna ogun kwara ebonyi ekiti oyo borno edo kano nasarawa osun taraba gombe bauchi confirm discharged death
CFN,per hashtag_tamilnadu govt total sandle test hashtag_covid sep hashtag_covid hashtag_covid hashtag_covid hashtag_covid hashtag_covidindia hashtag_corona hashtag_coronavirus hashtag_coronavirusindia hashtag_coronaviruspandemic hashtag_coronavirusupdate hashtag_covidupdate hashtag_coronaupdate hashtag_coronaupdatesindia
CFN,trump effort blame obama sluggish coronavirus testing
CFN,first change track pende number state total go less erratically second tracking number state broaden grade criterion third make major change website
CFN,hashtag_indiafightscorona india climb another historic peak lakh test lakh test do last hour
CFN,state report newly discover case today last week low almost exact match last tuesday newcase number
CFN,public broadcast rtve publish map coronavirus case spain fact map penis average size different region
CFN,allegheny county pa department emergency service use diverse source response planning include covid act
CFN,aaj tak news report chinese prime minister say read quran offer namaz cure covid
CFN,aug national forecast suggest new weekly hashtag_covid death may decrease come week new death week end sept forecast predict k k total covid death we sept
CFN,developer bank tell government already spend ireland share eu trillion covid recovery fund
CFN,promise viable vaccine develop covid virus think rehire judith mikovit live scientific encyclopedia viral research involve scientific research permit
CFN,nancy pelosi suggest coronavirus c rename c honor president trump hashtag_donaldtrump
CFN,rt child wear hashtag_mask safely facewithmedicalmaskbackhandindexpointingdowndarkskintone child must clean handssoapopenhandsdarkskintonedroplet maintain safe distancestraightruler stop spread
CFN,maralago test positive coronavirus hashtag_donaldtrump hashtag_coronavirus hashtag_mikepence hashtag_maralago hashtag_kayleighmcenany
CFN,covid vaccine oxford university success people cure
CFN,confirmation early today second death link covid last two day mean number covid relate death new zealand
CFN,photo show french nurse hold sign denounce police violence
CFN,daily update publish state report k new case covid solid k test covid death today day average death
CFN,warn consume cabbage prevent covid
CFN,hashtag_coronavirusupdate roundpushpintotal hashtag_covid case india september playbutton cureddischargedmigrate playbutton active case playbutton death total covid confirm case cureddischargedmigratedactive casesdeath
CFN,weekend lag effect pronounce death report exandle last week can report death monday tues az report death mon tue today az report death can datum output complicate human process
CFN,know strong weekend effect hit sunday monday especially report covid death sunday highlight red
CFN,new infection maharashtra record high singleday spike state far start pm tomorrow manipur go complete lockdown day bhopal madhya pradesh impose citywide lockdown july august hashtag_covid hashtag_coronavirusfact
CFN,louisiana post record case count backtoback report saturday one positive thread compare hospitalization case chart clear diagnosing infection la first peak test today
CFN,whatsapp forward attribute cnn claims dr li wenliang whistleblower chinese government propaganda covid document research report accord report chemical like methylxanthine theobromine theophylline stimulate compound ward virus human body least average perform immune system
CFN,debunk misinformation coronavirus hoax travel fast number cause grow outbreak need clarification
CFN,detail one sharp observer livestream
CFN,person release quarantine isolation pose risk spread hashtag_covid people share fact hashtag_coronavirus disease
CFN,pandemic open door physician online learn physician new medscape report find
CFN,young people great chance kill hpv vaccine covid
CFN,pandemic
CFN,grow number state city require face cover anyone leave home learn good material make face mask properly wear care
CFN,amoxi capsule make we medicine completely cure covid egyptian health minister arrive italy secret coronavirus cure dr charles lieber harvard professor arrest usa manufacturing coronavirus sell china video news report wcvb tv station boston massachusetts share facebook post mountain matterhorn switzerland light three colour indian flag token gratitude india send hydroxychloroquine alazhar imam say consider exception ramadan fast research say mouth must keep wet prevent covid japanese nobel tasuku honjo say coronavirus create wuhan laboratory man collapse minute show covid symptom india celebrity spread misinformation coronavirus janata curfew india multiple post share repeatedly facebook twitter since march claim israel report zero death novel coronavirus cause disease covid post also claim israeli citizen protect covid drinking remedy hot water lemon bake soda purportedly kill virus cdc suddenly lose death coronavirus datum thus prove virus serious seem photo coronavirus patient treat road italy indian actor shah rukh khan donate money pakistan fight coronavirus help india russian president vladimir putin order russia population stay home day face five year jail indian army setup bed quarantine facility rajasthan barmer leonardo da vinci hospital covid reference hospital fortaleza brazil empty video prove one area open public president trump claim inherit ventilator obama administration audio unidentified person link virus cause covid massive flu vaccination candaign black body bag refer death new york reason lockdown essential mustard oil prevent person getting infect covid north carolina health department tell hospital decide elective surgery eligible receive protective equipment state coronavirus pandemic chinese president say china time lead world nurse boris johnson claim save life register uk claim india ministry home affair make punishable offense citizen publish post social medium novel coronavirus share repeatedly facebook twitter whatsapp say nancy pelosi catch try include abortion funding bill combat coronavirus video man rebuke foreigner view thousand time social medium alongside claim guinean government order arrest chinese national country await safe return guinean china us country earth protest lock photo kurnool mla hafeez khan make nurse touch foot religious head viswabharathi medical college come covid quarantine facility new york state governor show data prove isolation ineffective covid homeopathic product oscillococcinum protect covid cdc admit lie covid death stat notice prepare emergency drug release social medium alumnus seoul national university college medicine belgian doctor turn back director dr li wenliang chinese whistleblower doctor propose drink tea cure covid person arrest violate lockdown night get bail lockdown state gujarat india us president donald trump test positive covid picture quote doctor vincenzo puro allegedly say asymptomatic people infect other virus lethal pandemic hoax prince charles recover covid help ayurvedic treatment video show superintendent police announce extension lokckdown maharashtra india till may whatsapp audio claim infanta sofa hospital madrid child serious condition due covid three child talavera de la reina hospital video show coronavirus patient doctor video claim show nigerian government spend we million import chinese doctor supply riot london due unavailability food item united kingdom lock tonight army soldier take uk street set claim pass instruction follow covid pandemic period facebook post claim latvian app apturi covid stop covid create warn people close infect person use government track people contact list record location aaj tak channel air program say drink alcohol smoking weed cure covid president donald trump tweet coronavirus vaccine israel stock market economy even strong besides we israel good invention judaism olive wonderful vaccine stop corona dead around world make vaccine bomb possible without peace create israel italy official giulio gallera china lie we date china provide false italy become wuhan medical system breakdown joo doria governor paulo forbid doctor give chloroquine covid patient blog post share thousand time multiple facebook post claim show video baby die infected novel coronavirus cause disease covid vaccine coronavirus available since video show policeman pick banknote stick link coronavirus make vaccine works flu vaccine respiratory syncytial virus rsv cure cancer yet somehow scientist make vaccine covid six month mumbai pune go military lockdown need defeat coronavirus consume alkaline food virus ph level indian actor aamir khan give rs poor people kg wheat flour photo show funeral turkish deceased general aytac yalman due covid coronavirus responsible covid mix sar hiv two doctor bakersfield california say press conference isolation measure affect immune system unrestrictive control country like sweden work article say vatican confirm pope two assistant coronavirus herbal tea make malunggay kamia leave cure covid disease cause novel coronavirus video police officer immobilize scream woman caption state beat police refuse go house lockdown mina gerais brazil cuba low number covid death due use hydroxychloroquine treat patient video doctor link antivaccine movement chinda brandolino origin covid confirmed case coronavirus bogot hospital video show migrant laborer surat city india send back surat home state refuse take back state border ohio gov mike dewine release prisoner warn resident possible crime wave virus g cause disease death arrest federal bureau investigation fbi professor tie china connect coronavirus pandemic photo list purport symptom treatment novel coronavirus cause disease covid share hundred time multiple post facebook twitter instagram purport remedy include daily dose vitamin exposure sunlight diet alkaline food police catch coronavirus positive patient road second viral video man lift shirt challenge aa police officer point gun another police officer kick man behind pin road make arrest text overlay video read italy say lockdown mean
CFN,late cdc hashtag_covidview report show weekly hospitalization associate hashtag_covid peak twice since outbreak begin week end april second time week end july learn
CFN,coronavirus spread via banana
CFN,kia ora vincent sorry issue app please call ministry health team email query andor feedback app tracingappfeedbackgovtnz
CFN,hashtag_indiafightscorona focus effective effort containment testing isolation treatment result increase percentage recovery rate steadily fall percentage active case
CFN,total number confirm case covid number report world health organization yesterday laboratory process test bring total number test complete date
CFN,china president xi jinping visit masjid request muslims dua present crisis country go throughwe need help
CFN,video italian representative sara cunial tell truth bill gates control world population vaccine medical experiment
CFN,message circulate claim kin die covid claim insurance pradhan mantri jeevan jyoti bima yojana pmjjby pradhan mantri suraksha bima yojana pmsby
CFN,test positive antibodie virus cause hashtag_covid mean likely past infection yet know whether antibody protect getting infect learn antibody testing
CFN,rt recover case time number active case people recover far activ
CFN,time bilateral vaccine deal vaccine nationalism could compromise equitable access hold progress country bring hashtag_covid pandemic end
CFN,nevada quietly reverse decision block hcq prescription covid
CFN,hashtag_coronavirus hashtag_covid hashtag_nyc people see would stay homehorrible hashtag_stayhome hashtag_stayathome hashtag_staysafe hashtag_nyc hashtag_nyclockdown hashtag_fridayfeele
CFN,soon never flu vaccine never flu know get flu vaccine also get flu st person knowledge conjecture alt organic dk green protein exercise ho sodium bicarbonate c iodine etc jesus physician greatest ever
