,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,cleaned_text,label
16,16,16,16,16,because donald trump is negligence incompetence more people have died we have nearly million cases covid over million americans are work and yet patting back unbelievable,fake
17,17,17,17,17,hashtag_indiafightscorona india continues scale new peaks hashtag_covid tests more lakh samples tested daily consecutive days no country has achieved levels high daily testing,real
18,18,18,18,18,we announced have shipped vials mrna company vaccine against novel coronavirus nih used planned phase study us,real
19,19,19,19,19,multiple facebook posts claim aussies will fined are found talking conspiracies do with the posts included screenshot segment australian breakfast television show evidence claim,fake
20,20,20,20,20,no nobel prize laureate tasuku honjo did say coronavirus is natural post facebook claims in fact professor honjo said is greatly saddened name used spread misinformation this latest hashtag_coronacheck,fake
21,21,21,21,21,the nz covid tracker app will remain important useful alert level people are encouraged download app similar one keep record going,real
22,22,22,22,22,breaking news hashtag_the president cryill ramaphosa has asked foreign nations depart south africa june due increasing cases covid,fake
23,23,23,23,23,we are delighted high uppermiddle countries economies have confirmed will participate covax facility number is growing i urge have yet joined do th september hashtag_covid,real
24,24,24,24,24,very intriguing possibility mood changes anxiety may function invasion hashtag_coronavirus cns brain,real
25,25,25,25,25,elon musck to new baby get a job kid hashtag_christmas hashtag_covid hashtag_elonmusk hashtag_achristmascarol,fake
26,26,26,26,26,a new alcoholfree sanitizer has developed dedan kimathi university kenya,fake
27,27,27,27,27,just appendix b gathering state orders testing huge chunk work same goes appendix d evaluation accessibility cdc is data tracker,real
28,28,28,28,28,yesterday laboratories completed tests were testing people managed isolation quarantine routine testing either days stay that brings total number tests completed date,real
29,29,29,29,29,reusing hashtag_n masks nih found vaporized hydrogen peroxide uv light heat effective sanitizers hashtag_coronavirus,real
30,30,30,30,30,has shifted focus different moments hashtag_coronavirusoutbreak we updated running timeline response virus reply us with recent trump moments think belong running list,fake
31,31,31,31,31,doctored image president donald trump shared claiming asked people chant hare krishna hare rama,fake
32,32,32,32,32,this hashtag_fourthofjuly weekend choose spend time outdoors event gathering stay ft apart amp wear cloth face cover slow spread hashtag_covid learn,real
33,33,33,33,33,cdc recommends mothers stop breastfeeding to boost vaccine efficacy,fake
34,34,34,34,34,singapore airlines haults all flights due to coronavirus outbreak,fake
35,35,35,35,35,florida governor ron desantis botches covid response by banning corona beer order flatten pandemic curve,fake
36,36,36,36,36,we apologise government ekiti state error we remain committed improving quality control processes ensure accurate transparent reporting cases,real
37,37,37,37,37,nyt invented video doctor fighting coronavirus hospital,fake
38,38,38,38,38,in may did break k cases day today south alone reported,real
39,39,39,39,39,alert americans with coronavirus symptoms are being asked to cough directly onto president trump,fake
40,40,40,40,40,we launched hashtag_covid solidarity response fund has far mobilized m individuals companies amp philanthropies in addition mobilized billion member states amp generous support countries,real
41,41,41,41,41,football player cristiano ronaldo turned hotels hospitals help coronavirus patients is paying doctors staff,fake
42,42,42,42,42,including will testing asymptomatic workers involved managed isolation quarantine airport border staff this is part wider surveillance measures is expected operational early july,real
43,43,43,43,43,i do want do national lockdown if hashtag_coronavirus continues progress uk pm says govt will have take measures insists does want second national lockdown read,real
44,44,44,44,44,our daily update is published states reported k tests k cases deaths,real
45,45,45,45,45,hashtag_indiafightscorona new recoveries india have exceeded new cases consecutive days hashtag_covid,real
46,46,46,46,46,the top states with high active caseload are also ones are presently reporting high level recoveries,real
47,47,47,47,47,there are currently people managed isolation quarantine our current effective capacity is this gives us excess capacity over next week are projecting arrivals departures facilities,real
48,48,48,48,48,schools are struggling cope with lack hashtag_covid tests with new infections increasing since became compulsory pupils return but should get child tested virus here is explainer backhandindexpointingdown,real
49,49,49,49,49,scientists astrazeneca complain work coronavirus vaccine keeps delayed noddy holder ringing ask will ready christmas,fake
50,50,50,50,50,masks can help prevent spread hashtag_covid are widely used public when wear mask can help protect around when others wear one can help protect people around incl hashtag_wearamask hashtag_doyourpart hashtag_worldmaskweek,real
51,51,51,51,51,new cases hashtag_covidnigeria lagos gombe plateau kwara enugu ogun katsina ekiti bauchi osun rivers confirmed discharged deaths,real
52,52,52,52,52,did you already have coronavirus here a simple test,fake
53,53,53,53,53,rt hashtag_indiafightscorona with high number sustained recoveries india surges ahead with highest single day recovery nearl,real
54,54,54,54,54,italy has surrendered coronavirus pandemic measures control covid have exhausted,fake
55,55,55,55,55,president trump has been forced wear protective medical mask hashtag_donaldtrump hashtag_coronavirus hashtag_cia hashtag_fbi hashtag_iud,fake
56,56,56,56,56,rt coronavirus misinformation is moving offline a reddit user posted flyer site told us had delive,fake
57,57,57,57,57,orwell dead living bridge continued hashtag_government hashtag_toiletpaper hashtag_georgeorwell hashtag_coronavirus,fake
58,58,58,58,58,residents york are asked think new government rule allows people england may have hashtag_covid fined fail selfisolate to read click,real
59,59,59,59,59,central government has given permission schools reopen,fake
60,60,60,60,60,as today are total approved labs hashtag_covid testing these consist govt amp pvt labs hashtag_covidtesting hashtag_covid hashtag_covid hashtag_covid hashtag_covid hashtag_covidindia hashtag_covidupdates hashtag_coronavirus hashtag_coronaupdates hashtag_coronavirusindia,real
61,61,61,61,61,the government has come pressure lack availability hashtag_covid tests read,real
62,62,62,62,62,fewer kids are dying since lockdown a new white paper examines,fake
63,63,63,63,63,more million cases hashtag_covid have reported who almost deaths although countries have affected continue see intense transmission relatively small group countries,real
64,64,64,64,64,justin trudeau resigns amidst coronavirus pandemic,fake
65,65,65,65,65,george soros is one people responsible new coronavirus born laboratory,fake
66,66,66,66,66,the sensitivity test is definitely something specialists are talking i have seen real number i also haven looked hard doing things,real
67,67,67,67,67,experts call out claims that cow dungurine yoga ayush can prevent or treat covid,fake
68,68,68,68,68,the main mode transmission hashtag_novel hashtag_coronavirus is droplets is possible infected smokers may blow droplets carrying virus exhale regardless hashtag_covid should steer clear secondhand smoke may cause various health problems,real
69,69,69,69,69,an article claiming bill gates vaccine would modify human dna,fake
70,70,70,70,70,rt hashtag_dyk hashtag_handwashing remains one best ways prevent spread viruses like hashtag_covid here are keycap things to,real
71,71,71,71,71,according state health department hashtag_haryana hashtag_covid hashtag_recoveryrate hashtag_gurugram is hashtag_covid hashtag_covid hashtag_covid hashtag_coronaupdates hashtag_coronavirusindia hashtag_coronavirusupdates hashtag_coronavirus hashtag_covidupdates,real
72,72,72,72,72,our daily update is published sundays mondays are tend see numbers dipand see today still k cases rising hospitalizations large jump deaths last sunday holiday numbers the day average is back,real
73,73,73,73,73,our total number confirmed cases covid is is number report world health organization,real
74,74,74,74,74,brazailian parliament went hospital should take covid patients found empty,fake
75,75,75,75,75,multiple posts shared thousands times facebook twitter youtube claim salt is effective remedy against novel coronavirus,fake
76,76,76,76,76,un secretarygeneral antonio guterres says hashtag_covid pandemic has dramatically derailed sustainable development goals has put question progress made eradication poverty hunger latest world news,real
77,77,77,77,77,an instagram post is claiming covid tests tainted with coronavirus have circulation many months,fake
78,78,78,78,78,across states report tracked hospitalizations bulk new york but louisiana florida also have growing numbers hospitalizations,real
79,79,79,79,79,philippines senators grace poe risa hontiveros have silent coronavirus crisis were vocal closure abscbn,fake
80,80,80,80,80,hashtag_indiafightscorona india total recoveries continue rise cross lakh today states contribute total cases active cases total fatality reported india hashtag_staysafe hashtag_indiawillwin,real
81,81,81,81,81,the important consequence seeing covid syndemic is underline social origins the vulnerability older citizens black asian minority ethnic communities key workers are commonly poorly paid with fewer welfare protections,fake
82,82,82,82,82,rt hashtag_indiafightscorona scales covid testing capacity lakh tests per day country as tota,real
83,83,83,83,83,a video shows italian doctor says nobody died coronavirus italy is dangerous flu,fake
84,84,84,84,84,seasonal influenza vaccination will mandatory georgia fall covid mortality rates are significantly lower fatalities caused viruses,fake
85,85,85,85,85,we can say are cases mt roskill evangelical fellowship group cases bereavement subcluster includes cases whose source infection bereavement events,real
86,86,86,86,86,there is one new zealand receiving hospitallevel care covid yesterday laboratories completed tests bringing total number tests completed date hashtag_covid hashtag_covidnz hashtag_covid,real
87,87,87,87,87,as pm th april breakdown cases state is lagos fct kano osun oyo edo ogun kwara katsina bauchi kaduna akwa ibom delta ekiti ondo enugu rivers niger benue anambra borno jigawa,real
88,88,88,88,88,the biggest change data is number covid patients are currently hospitalized with addition florida is k hospitalizations we have seen numbers since first week mayand do seem likely decline soon,real
89,89,89,89,89,loudspeaker hashtag_coronavirusupdates roundpushpin hashtag_covid india tracker as september am rightarrowconfirmed cases rightarrowrecovered thumbsup rightarrowactive cases rightarrowdeaths hashtag_indiafightscorona hashtag_indiawillwin hashtag_staysafe via,real
90,90,90,90,90,there is person with coronavirus galicia,fake
91,91,91,91,91,india has tested lakh samplesday hashtag_covid this has enabled is commitment set laboratories expanding testing mechanisms for details visit hashtag_icmrfightscovid hashtag_indiafightscorona,real
92,92,92,92,92,claim jordanian health minister says covid is conspiracy video,fake
93,93,93,93,93,pregnant women with covid have higher rate premature births,real
94,94,94,94,94,solidarity trials are also underway many countries once projects are complete controlling hashtag_covid effectively will easier due availability proper medicines vaccines etc did control various infectious diseases across world,real
95,95,95,95,95,covid update there are new cases covid report new zealand today it has days since last case covid acquired locally unknown source,real
96,96,96,96,96,compare number completed tests reported new mexico state with population times smaller california these numbers should even close yet are,real
97,97,97,97,97,all cases community are auckland based all are connected existing outbreak close contacts cases already reported new cases are household contacts previously reported case is still investigation gp mt wellington,real
98,98,98,98,98,a precautionary message one can catch fire due hand sanitizer has high amount alcohol the message also shows hands lady applying sanitizer went near stove ended burning hands,fake
99,99,99,99,99,that brings new zealand total number active cases are managed isolation quarantine facilities there are cases community nz is total number confirmed cases covid is is number report who,real
100,100,100,100,100,says rudy giuliani bought m shares novartis primary supplier hydroxychloroquine early february,fake
101,101,101,101,101,a student pondicherry university india has found home remedy covid has accepted world health organization who,fake
102,102,102,102,102,footballer ronaldo is turning hotels covid hospitals,fake
103,103,103,103,103,hashtag_coronavirusupdates india records highest ever single day peak hashtag_covid recoveries hashtag_indiafightscorona total recoveries cross lakh recoveries exceed active cases lakh,real
104,104,104,104,104,do have cough fever runny nose if symptoms came suddenly good chance could have hashtag_flu watch find should do next hashtag_fightflu,real
105,105,105,105,105,president trump says pandas are responsible for covid hashtag_donaldtrump hashtag_china hashtag_coronavirus hashtag_zoo hashtag_pandas,fake
106,106,106,106,106,as today are active hashtag_covid cases hashtag_mumbai district hashtag_maharastra hashtag_covid hashtag_covid hashtag_covid hashtag_coronaupdatesinindia hashtag_coronavirus hashtag_coronavirusupdates hashtag_coronaviruspandemic,real
107,107,107,107,107,public health england is weekly hashtag_coronavirus report shows rise almost rhinovirus infections include common cold last week,real
108,108,108,108,108,this is image suspected coronavirus vaccine causing covid,fake
109,109,109,109,109,some people are likely others become severely ill hashtag_covid means may require hospitalization intensive care ventilator help breathe some severely ill people may die learn,real
110,110,110,110,110,camila pitanga brazilian actress contracted covid said caught malaria could take chloroquine without admitting wrong,fake
111,111,111,111,111,the new coronavirus causes sudden death syndrome,fake
112,112,112,112,112,hashtag_indiafightscorona roundpushpin increasing gap hashtag_covid recovered amp active cases india may september backhandindexpointingdown hashtag_staysafe hashtag_indiawillwin,real
113,113,113,113,113,coronavirus parties can have deadly consequences,real
114,114,114,114,114,cabinet office minister michael gove says nothere is going shift emphasis working home new hashtag_covid restrictions hashtag_kayburley get latest hashtag_coronavirus news,real
115,115,115,115,115,well are reporting quite effectively it is refuse put numbers table dashboard reasons are beyond,real
116,116,116,116,116,looking numbers is like yesterday one state california drove huge increase this number seems much solid driven number states reporting large numbers tests completed,real
117,117,117,117,117,india has lost individuals coronavirus till date in view rising coronavirus cases bihar government extends lockdown state till september at nationalist congress party chief sharad pawar residence four people tested positive hashtag_coronavirus,fake
118,118,118,118,118,bill gates profits vaccination wants reduce world is population,fake
119,119,119,119,119,hashtag_indiafightscorona held virtual meeting today with states amp uts ensure adequate oxygen availability healthcare facilities amp unrestricted intra well inter state movement oxygen read details hashtag_staysafe hashtag_indiawillwin,real
120,120,120,120,120,hashtag_hcps attend next coca call tuesday aug pm et via zoom topic covid amp telehealth implementation stories field learn hashtag_covid,real
121,121,121,121,121,how healthy yearold boy lost life hashtag_covid days,real
122,122,122,122,122,an important part work is data collection analysis at pm every day data team collates results received testing laboratories inform nigerians number new hashtag_covid cases results received time are reported next day,real
123,123,123,123,123,finally launched first real version covid racial data tracker partnership with this has major effort project is volunteersand hope will useful communities across country,real
124,124,124,124,124,acc hashtag_incubation period hashtag_covid is time exposure novel hashtag_coronavirus becoming infected symptom onset is days with median estimates days can long days hashtag_coronavirus hashtag_covid hashtag_covid,real
125,125,125,125,125,nasal flu vaccine side effects do cause covid,fake
126,126,126,126,126,today cases bring combined total confirmed probable covid cases we have people reported recovered today are two people hospital one middlemore north shore hospitals neither are icu,real
127,127,127,127,127,new publication rightarrow hashtag_covid pandemic could cause hashtag_hiv treatment interruptions allow increase new infections rightarrowprograms should plan avoid risks save lives japanesesymbolforbeginnerfull report authors jennifersmith timothyhallett,real
128,128,128,128,128,transparency leaders is vital crisis we must have access data can make informed decisions behavior changes az residents can access data model projections,real
129,129,129,129,129,there is one nz receiving hospital level care covid yesterday laboratories completed tests bringing total number tests completed the minister is advised amp reassured numbers will continue increase coming days,real
130,130,130,130,130,in rapid response team is working with nfeltp strengthen community testing hashtag_covid lgas the team provides support newly reactivated lga walkin testing sites increased testing capacity access awareness hashtag_covid grassroot level,real
131,131,131,131,131,of new recovered cases are reported five states viz maharashtra tamil nadu andhra pradesh karnataka amp uttar pradesh maharashtra has alone contributed amp andhra pradesh has contributed new recoveries,real
132,132,132,132,132,claim india began screening passengers hashtag_covidaffected countries had single case pm modi fact the govt mandated universal screening internat l flights march cases had detected across indian states,fake
133,133,133,133,133,says coronavirus is military bioweapon developed china is army,fake
134,134,134,134,134,in indore india police doctors are injecting coronavirus positive blood muslims,fake
135,135,135,135,135,photo vaccine developed us scientists covid,fake
136,136,136,136,136,a video clip shows doctor couple died treating covid patients,fake
137,137,137,137,137,deaths were reported bringing total dataset this does include probable covid deaths reported nyc new york state we are working separate accounting labconfirmed probable deaths states can do,real
138,138,138,138,138,youth sports organizations as resume activities have planned do player visitor coach gets sick with hashtag_covid cdc offers tips protect health safety staff players visitors involved youth sports tips,real
139,139,139,139,139,not one politician has died virus,fake
140,140,140,140,140,hashtag_indiafightscorona health ministry reviews covid management amp response districts across states exhibiting high caseload fatality,real
141,141,141,141,141,where are they now covid,fake
142,142,142,142,142,leaked report says there are too many humans on the planet hashtag_globalwarming hashtag_coronavirus hashtag_conspiracy,fake
143,143,143,143,143,another current known data problem is washington state after rocksolid reporting early part outbreak system got gummed have seen new update state days,real
144,144,144,144,144,india spraying pesticides night prevent covid,fake
145,145,145,145,145,home ministry has declared that posting on coronavirus has been declared a punishable offense,fake
146,146,146,146,146,if refuse hashtag_socialdistance should sign pledge bypass care get ill with hashtag_coronavirus via,real
147,147,147,147,147,rt do not use bleach solutions disinfecting products food currently cases hashtag_covid have identifie,real
148,148,148,148,148,free coronavirus test kits available to all hashtag_health hashtag_coronavirus,fake
149,149,149,149,149,dispels doubts raised failure one vaccine clinical trials says trials are continuing expert committee reappraisal no significant mutation sarscov india icmr is actively exploring salivabased test covid,real
150,150,150,150,150,thirtynine gps specialists have written bmj calling action long covid,real
151,151,151,151,151,scientists are expressing cautious optimism covid vaccine can ready go late spring although unclear much longer would take distribute vaccine widely,fake
152,152,152,152,152,if want context hospitalization data situation check weekly roundup tackled transitional period is producing erratic artificially deflated hospitalization data,real
153,153,153,153,153,hashtag_coronavirusupdates hashtag_covid testing status update stated samples tested upto september sample tested september hashtag_staysafe hashtag_indiawillwin,real
154,154,154,154,154,video shows first infected patient covid dhanbad hospital,fake
155,155,155,155,155,says daniel radcliffe has coronavirus,fake
156,156,156,156,156,as today are total active hashtag_covid cases india samples were tested today till pm hashtag_covid hashtag_lakshadweep has reported single case till date amp hashtag_arunachalpradesh amp hashtag_mizoram have reported hashtag_covid case last hrs,real
157,157,157,157,157,trump and coronavirus may end november rd hashtag_dranthonyfauci hashtag_smallpox,fake
158,158,158,158,158,hashtag_coronavirus this is scientists believe hashtag_coronavirus affects body,fake
159,159,159,159,159,former rep trey gowdy wrote essay past social media claiming covid pandemic planned help democrats election,fake
160,160,160,160,160,health equity is everyone has opportunity healthy possible we must address longstanding inequities put racial ethnic groups higher risk hashtag_covid learn cdc covid hashtag_healthequity strategy,real
161,161,161,161,161,product pages are offering toxic chlorine dioxide industrial bleach often sold name miracle mineral solution hashtag_covid cure reported guardian,fake
162,162,162,162,162,the recent date have confirmed data north carolina is may th the infection rate meaning covid cases were slowly increasing,real
163,163,163,163,163,it is possible vaccine could available end year csa patrick vallance says vaccine could available small amounts certain groups adding are amore likely see vaccines first half next year,real
164,164,164,164,164,in phase doses will allocated proportionally participating countries simultaneously reduce overall risk in phase consideration will given countries relation threat vulnerability hashtag_covid,real
165,165,165,165,165,great news hashtag_carona virus vaccine ready able cure patient within hours injection hats us scientists right trump announced roche medical company will launch vaccine next sunday millions doses are ready note this message requires confirmation,fake
166,166,166,166,166,states reported deaths the trend has good,real
167,167,167,167,167,new cases hashtag_covid lagos oyo fct niger borno jigawa kaduna anambra edo rivers nasarawa bauchi benue zamfara cases hashtag_covid nigeria discharged deaths,real
168,168,168,168,168,twofold increase mortality among coronavirus patients with hashtag_hypertension,real
169,169,169,169,169,as july in last days states have reported new hashtag_covid cases wear cloth face coverings keep ft others wash hands often interested data state see covid data tracker,real
170,170,170,170,170,covid is never going away this is beach today raleigh north carolina,fake
171,171,171,171,171,pope francis dying of the coronavirus,fake
172,172,172,172,172,new cases hashtag_covidnigeria lagos plateau oyo fct edo kaduna enugu ogun kano kwara cross river ondo rivers ekiti imo borno confirmed discharged deaths,real
173,173,173,173,173,people are offering prayers groups rooftops despite lockdown that cases coronavirus india are continuously increasing,fake
174,174,174,174,174,the access hashtag_covid tools act accelerator aims provide equitable access tools tackle forms hashtag_covid disease asymptomatic mild severe disease,real
175,175,175,175,175,the positive rate has fallen lot since early april back now is like a lot change has driven rising tests plummeting positive rates northeast,real
176,176,176,176,176,rt the uk government announced million support prof robin shattock team phase two trials a,real
177,177,177,177,177,there are open vacancies nurses doctors health professionals work temporary hospital so paulo will used treat covid cases,fake
178,178,178,178,178,a photo funeral recently deceased sri lankan politician arumugam thondaman has shared thousands times multiple facebook posts the posts claim image shows one thondaman daughters violated sri lanka is mandatory coronavirus quarantine policy travelers attending ceremony shortly returning country overseas,fake
179,179,179,179,179,as morning have identified close contacts tokoroa health professional currently hospital covid have already contacted we expect contact remainder today,real
180,180,180,180,180,the last places free hashtag_covid are pacific here who helped countries region step efforts prepare arrival covidbackhandindexpointingright hashtag_whoimpact,real
181,181,181,181,181,new covidview reports hospitalization rates deaths hashtag_covid are increasing indicators track hospitalizations deaths usually lag behind indicators track illness,real
182,182,182,182,182,while is true coronavirus can cause sore throat gargling with salt warm water may make feel better has direct effect virus hashtag_covid hashtag_afaracare,fake
183,183,183,183,183,a dna vaccine has shown work rhesus monkeys exposing vaccinated monkeys covid had less virus lungs read study gt,real
184,184,184,184,184,important strategies dealing with doomsday scenario hashtag_covid flu measles,real
185,185,185,185,185,older children seem spread covid like adults,real
186,186,186,186,186,we grateful support providing ambulances nigeria hashtag_covid response these will used port health services kano edo amp oyo state emergency operations centres expand current capacity transportation cases,real
187,187,187,187,187,sadly are people hospital today around country with covid two are ward north shore hospital two are icu one north shore one waikato hospital we are hoping everyone full speedy recovery,real
188,188,188,188,188,indian politician uddhav thackeray has asked christians pray jesus stop covid,fake
189,189,189,189,189,the average number cases nationwide has flattened past week breaking downward trend had seen beginning august,real
190,190,190,190,190,there are positive coronavirus cases nagpur along with three doctors one is ventilator,fake
191,191,191,191,191,the latest cdc hashtag_covidview report shows minority populations like american indian black hispanic continue hospitalized hashtag_covid nearly times rate nonhispanic white counterparts learn,real
192,192,192,192,192,kia ora only new zealand residents citizens children partners are permitted enter new zealand,real
193,193,193,193,193,hashtag_indiafightscorona test track treat effective implementation centre statesuts has ensured india has one lowest hashtag_covid cases deaths per million population compared several countries,real
194,194,194,194,194,hashtag_indiafightscorona union health ministry urges statesuts ensure restriction is imposed movement medical oxygen states,real
195,195,195,195,195,study covid likely mix seattle early flu season,real
196,196,196,196,196,a photo shows people infected with coronavirus lying sidewalk china,fake
197,197,197,197,197,hashtag_indiafightscorona active cases total hashtag_covid cases recoveries are lakh exceed active cases lakh,real
198,198,198,198,198,states like new york illinois california have vocal demands funding bail pension systems were failing long covid outbreak programs aren related crisis,fake
199,199,199,199,199,news antivaxxers close deciding medical conditions will pretend are caused coronavirus vaccine,fake
200,200,200,200,200,hashtag_coronavirusupdates roundpushpintotal hashtag_covid cases india september playbutton cureddischargedmigrated playbutton active cases playbutton deaths total covid confirmed cases cureddischargedmigratedactive casesdeaths,real
201,201,201,201,201,new cases hashtag_covid lagos fct bauchi rivers oyo kaduna gombe edo ogun jigawa enugu kano osun ondo cases hashtag_covidnigeria discharged deaths,real
202,202,202,202,202,florida is numbers today include large number backlogged tests state said,real
203,203,203,203,203,local lockdown measures are imposed welsh county rhondda cynon taf rise coronavirus cases,real
204,204,204,204,204,who announces algeria outside danger regarding covid,fake
205,205,205,205,205,states reported nearly k cases today days may the positive rate highest since late may,real
206,206,206,206,206,the vast majority students st dominic are casual contacts tested precaution if students staff are well have symptoms covid do need selfisolate waiting test results,real
207,207,207,207,207,prime minister boris johnson says government will shortly setting priority groups think should have covid tests follow live updates pm faces questions liaison committee,real
208,208,208,208,208,antibodies common cold produce positive covid test falsepositive results covid antibody testing are behind covid cases reported us,fake
209,209,209,209,209,children years represent reported hashtag_covid cases with deaths compared age groups amp usually mild disease backhandindexpointingright,real
210,210,210,210,210,man beaten deoria india lockdown time,fake
211,211,211,211,211,our daily update is published we tracked million tests k yesterday note can track tests state reports for details see,real
212,212,212,212,212,coronavirus is not like a broken leg,fake
213,213,213,213,213,photos show masses fleeing myanmar thailand due coronavirus pandemic,fake
214,214,214,214,214,georgia is particularly worrisome the state had seen large rise reported deaths despite rising infections steep hospitalization curve today state reported secondhighest deaths since beginning pandemic highest number since april,real
215,215,215,215,215,new findings confirm earlier research showing major increase physician employment hospitals past decade,real
216,216,216,216,216,ireland is entire cabinet will restrict movements health minister felt unwell tested hashtag_coronavirus has reported,real
217,217,217,217,217,in backdrop lockdown videos wild animals taking roads are surfacing internet among set pictures herd deer is doing rounds social media claiming pictures are lake club chandigarh,fake
218,218,218,218,218,the reported death toll today is last friday only two states reported deaths today ny pa,real
219,219,219,219,219,one optimistic point are states left side chart are finding positive cases even are doing lot testing this suggests mitigation strategies are working,real
220,220,220,220,220,thank extremely insightful is one two trusted websites follow provide good summary amp update covid i follow does really good job recent video touted importance vitamin d elderberry among things,fake
221,221,221,221,221,florida broke new york day average record cases per million population today testing capacity is obviously much much greater spring however still stunning see record fall,real
222,222,222,222,222,as outbreak continues many people united states will point time either year next exposed hashtag_covid likely many will become sick people likely will have mild illness,real
223,223,223,223,223,sir ganga ram hospital has directed patients stay home n treat urself implies delhi govt has miserably failed administrative responsibility providing health care n left delhites fate must sacked n lg take charge u agree,fake
224,224,224,224,224,one previously reported cases is considered have recovered our total number active cases is of are imported cases miq facilities are community cases,real
225,225,225,225,225,joe diffie death labeled covid death wasn,fake
226,226,226,226,226,modeling is assumptions we assume baseline general hospital occupancy rate across hospitals accounting hospitalized noncovid patients we assume hospitals can increase available beds covid patients roughly double,real
227,227,227,227,227,more bame doctors uk are still given access potentially lifesaving covid risk assessments,real
228,228,228,228,228,our daily update is published states reported k tests k cases deaths,real
229,229,229,229,229,a doctor named leslie chow discovered coronavirus died contact with coronavirus patients,fake
230,230,230,230,230,though number new cases has remained relatively flat regional data shows are steady state here are new cases region scaled population,real
231,231,231,231,231,yesterday labs processed tests our total number tests completed date is there are people linked community cluster auckland quarantine facility this includes people have tested positive household contacts,real
232,232,232,232,232,coronavirus hospital urgent plea people go havery busy a amp e covid tests,real
233,233,233,233,233,rightmove said activity aided current stamp duty holiday driven high demand gardens space work home hashtag_covid disrupts daytoday life,real
234,234,234,234,234,says is covid virus,fake
235,235,235,235,235,anyone flight facility time cases are treated are close contacts they will tested isolated negative result is received,real
236,236,236,236,236,we don do states provide negative results with frequency comprehensiveness at point i don think positive rates are important indicators,real
237,237,237,237,237,new cases hashtag_covidnigeria lagos fct plateau kaduna ogun kwara ebonyi ekiti oyo borno edo kano nasarawa osun taraba gombe bauchi confirmed discharged deaths,real
238,238,238,238,238,as per hashtag_tamilnadu govt total samples were tested hashtag_covid sep hashtag_covid hashtag_covid hashtag_covid hashtag_covid hashtag_covidindia hashtag_corona hashtag_coronavirus hashtag_coronavirusindia hashtag_coronaviruspandemic hashtag_coronavirusupdates hashtag_covidupdates hashtag_coronaupdate hashtag_coronaupdatesindia,real
239,239,239,239,239,trump effort blame obama sluggish coronavirus testing,fake
240,240,240,240,240,first changes track pending numbers state totals go less erratically second tracking numbers states broaden grading criteria third making major changes website,real
241,241,241,241,241,hashtag_indiafightscorona india climbs another historic peak lakh tests more lakh tests done last hours,real
242,242,242,242,242,the states reported newly discovered cases today last week is low almost exact match last tuesday is newcase number,real
243,243,243,243,243,public broadcast rtve published map coronavirus cases spain fact map penis average size different regions,fake
244,244,244,244,244,allegheny county pa department emergency services is using diverse sources response planning including covid act now,real
245,245,245,245,245,in aaj tak news report chinese prime minister said reading quran offering namaz is cure covid,fake
246,246,246,246,246,as aug national forecasts suggest new weekly hashtag_covid deaths may decrease coming weeks with new deaths week ending sept forecasts predict k k total covid deaths us sept more,real
247,247,247,247,247,developers banks tell government they have already spent ireland is share of eu is trillion covid recovery fund,fake
248,248,248,248,248,what promises viable vaccine can developed covid virus so think should rehire judith mikovits is living scientific encyclopedia viral research she involved with scientific research permitted,fake
249,249,249,249,249,nancy pelosi suggests that the coronavirus c be renamed the c honor president trump hashtag_donaldtrump,fake
