,cleaned_text,label
69,article claim bill gates vaccine modify human dna,fake
70,rt hashtagdyk hashtaghandwashing remain good way prevent spread virus like hashtagcovid keycap thing,real
71,accord state health department hashtagharyana hashtagcovid hashtagrecoveryrate hashtaggurugram hashtagcovid hashtagcovid hashtagcovid hashtagcoronaupdate hashtagcoronavirusindia hashtagcoronavirusupdate hashtagcoronavirus hashtagcovidupdate,real
72,daily update publish sunday monday tend number dipand today k case rise hospitalization large jump death sunday holiday number day average,real
73,total number confirm case covid number report world health organization,real
74,brazailian parliament go hospital covid patient find,fake
75,multiple post share thousand time facebook twitter youtube claim salt effective remedy novel coronavirus,fake
76,un secretarygeneral antonio guterres say hashtagcovid pandemic dramatically derail sustainable development goal question progress eradication poverty hunger late world news,real
77,instagram post claim covid test taint coronavirus circulation month,fake
78,state report track hospitalization bulk new york louisiana florida grow number hospitalization,real
79,philippine senator grace poe risa hontiveros silent coronavirus crisis vocal closure abscbn,fake
80,hashtagindiafightscorona india total recovery continue rise cross lakh today state contribute total case active case total fatality report india hashtagstaysafe hashtagindiawillwin,real
81,important consequence see covid syndemic underline social origin vulnerability old citizen black asian minority ethnic community key worker commonly poorly pay few welfare protection,fake
82,rt hashtagindiafightscorona scale covid testing capacity lakh test day country tota,real
83,video show italian doctor say die coronavirus italy dangerous flu,fake
84,seasonal influenza vaccination mandatory georgia fall covid mortality rate significantly low fatality cause virus,fake
85,case mt roskill evangelical fellowship group case bereavement subcluster include case source infection bereavement event,real
86,new zealand receive hospitallevel care covid yesterday laboratory complete test bring total number test complete date hashtagcovid hashtagcovidnz hashtagcovid,real
87,pm th april breakdown case state lago fct kano osun oyo edo ogun kwara katsina bauchi kaduna akwa ibom delta ekiti ondo enugu river niger benue anambra borno jigawa,real
88,big change data number covid patient currently hospitalize addition florida k hospitalization see number week mayand likely decline soon,real
89,loudspeaker hashtagcoronavirusupdate roundpushpin hashtagcovid india tracker september rightarrowconfirmed case rightarrowrecovere thumbsup rightarrowactive case rightarrowdeath hashtagindiafightscorona hashtagindiawillwin hashtagstaysafe,real
90,person coronavirus galicia,fake
91,india test lakh samplesday hashtagcovid enable commitment set laboratory expand testing mechanism detail visit hashtagicmrfightscovid hashtagindiafightscorona,real
92,claim jordanian health minister say covid conspiracy video,fake
93,pregnant woman covid high rate premature birth,real
94,solidarity trial underway country project complete control hashtagcovid effectively easy availability proper medicine vaccine etc control infectious disease world,real
95,covid update new case covid report new zealand today days case covid acquire locally unknown source,real
96,compare number complete test report new mexico state population times small california number close,real
97,case community auckland base connect exist outbreak close contact case report new case household contact previously report case investigation gp mt wellington,real
98,precautionary message catch fire hand sanitizer high alcohol message show hands lady apply sanitizer go near stove end burn hand,fake
99,bring new zealand total number active case manage isolation quarantine facility case community nz total number confirm case covid number report,real
100,say rudy giuliani buy m share novartis primary supplier hydroxychloroquine early february,fake
101,student pondicherry university india find home remedy covid accept world health organization,fake
102,footballer ronaldo turn hotel covid hospital,fake
103,hashtagcoronavirusupdate india record high single day peak hashtagcovid recoverie hashtagindiafightscorona total recovery cross lakh recovery exceed active case lakh,real
104,cough fever runny nose symptom come suddenly good chance hashtagflu watch find hashtagfightflu,real
105,president trump say panda responsible covid hashtagdonaldtrump hashtagchina hashtagcoronavirus hashtagzoo hashtagpanda,fake
106,today active hashtagcovid case hashtagmumbai district hashtagmaharastra hashtagcovid hashtagcovid hashtagcovid hashtagcoronaupdatesinindia hashtagcoronavirus hashtagcoronavirusupdate hashtagcoronaviruspandemic,real
107,public health england weekly hashtagcoronavirus report show rise rhinovirus infection include common cold week,real
108,image suspect coronavirus vaccine cause covid,fake
109,people likely severely ill hashtagcovid mean require hospitalization intensive care ventilator help breathe severely ill people die learn,real
110,camila pitanga brazilian actress contract covid say catch malaria chloroquine admit wrong,fake
111,new coronavirus cause sudden death syndrome,fake
112,hashtagindiafightscorona roundpushpin increase gap hashtagcovid recover active case india september backhandindexpointingdown hashtagstaysafe hashtagindiawillwin,real
113,coronavirus party deadly consequence,real
114,cabinet office minister michael gove say nothere go shift emphasis work home new hashtagcovid restriction hashtagkayburley late hashtagcoronavirus news,real
115,report effectively refuse number table dashboard reason,real
116,look number like yesterday state california drive huge increase number solid drive number state report large number test complete,real
117,india lose individual coronavirus till date view rise coronavirus case bihar government extend lockdown state till september nationalist congress party chief sharad pawar residence people test positive hashtagcoronaviru,fake
118,bill gates profit vaccination wants reduce world population,fake
119,hashtagindiafightscorona hold virtual meeting today state ut ensure adequate oxygen availability healthcare facilities unrestricted intra inter state movement oxygen read detail hashtagstaysafe hashtagindiawillwin,real
120,hashtaghcp attend coca tuesday aug pm et zoom topic covid telehealth implementation story field learn hashtagcovid,real
121,healthy yearold boy lose life hashtagcovid day,real
122,important work datum collection analysis pm day data team collate result receive testing laboratory inform nigerian number new hashtagcovid case result receive time report day,real
123,finally launch real version covid racial data tracker partnership major effort project volunteersand hope useful community country,real
124,acc hashtagincubation period hashtagcovid time exposure novel hashtagcoronavirus infect symptom onset day median estimate day long day hashtagcoronavirus hashtagcovid hashtagcovid,real
125,nasal flu vaccine effect cause covid,fake
126,today case bring combine total confirm probable covid case people report recover today people hospital middlemore north shore hospital icu,real
127,new publication rightarrow hashtagcovid pandemic cause hashtaghiv treatment interruption allow increase new infection rightarrowprogram plan avoid risk save life japanesesymbolforbeginnerfull report authors jennifersmith timothyhallett,real
128,transparency leader vital crisis access datum inform decision behavior change az resident access datum model projection,real
129,nz receive hospital level care covid yesterday laboratory complete test bring total number test complete minister advise reassure number continue increase come day,real
130,rapid response team work nfeltp strengthen community testing hashtagcovid lgas team provide support newly reactivate lga walkin testing site increase testing capacity access awareness hashtagcovid grassroot level,real
131,new recover case report state viz maharashtra tamil nadu andhra pradesh karnataka uttar pradesh maharashtra contribute andhra pradesh contribute new recovery,real
132,claim india begin screen passenger hashtagcovidaffecte country single case pm modi fact govt mandate universal screen internat l flight march case detect indian state,fake
133,say coronavirus military bioweapon develop china army,fake
134,indore india police doctor inject coronavirus positive blood muslim,fake
135,photo vaccine develop scientist covid,fake
136,video clip show doctor couple die treat covid patient,fake
137,death report bring total dataset include probable covid death report nyc new york state work separate accounting labconfirme probable death state,real
138,youth sport organization resume activity plan player visitor coach get sick hashtagcovid cdc offer tip protect health safety staff player visitor involve youth sport tip,real
139,politician die virus,fake
140,hashtagindiafightscorona health ministry review covid management response district state exhibit high caseload fatality,real
141,covid,fake
142,leak report say human planet hashtagglobalwarme hashtagcoronavirus hashtagconspiracy,fake
143,current know data problem washington state rocksolid report early outbreak system got gum see new update state day,real
144,india spray pesticide night prevent covid,fake
145,home ministry declare post coronavirus declare punishable offense,fake
146,refuse hashtagsocialdistance sign pledge bypass care ill hashtagcoronaviru,real
147,rt use bleach solution disinfect product food currently case hashtagcovid identifie,real
148,free coronavirus test kit available hashtaghealth hashtagcoronaviru,fake
149,dispel doubt raise failure vaccine clinical trial say trial continue expert committee reappraisal significant mutation sarscov india icmr actively explore salivabased test covid,real
150,thirtynine gps specialist write bmj call action long covid,real
151,scientist express cautious optimism covid vaccine ready late spring unclear long distribute vaccine widely,fake
152,want context hospitalization datum situation check weekly roundup tackle transitional period produce erratic artificially deflated hospitalization datum,real
153,hashtagcoronavirusupdate hashtagcovid testing status update state sample test upto september sample test september hashtagstaysafe hashtagindiawillwin,real
154,video show infect patient covid dhanbad hospital,fake
155,say daniel radcliffe coronavirus,fake
156,today total active hashtagcovid case india sample test today till pm hashtagcovid hashtaglakshadweep report single case till date hashtagarunachalpradesh hashtagmizoram report hashtagcovid case hrs,real
157,trump coronavirus end november rd hashtagdranthonyfauci hashtagsmallpox,fake
158,hashtagcoronavirus scientist believe hashtagcoronavirus affect body,fake
159,rep trey gowdy write essay past social medium claim covid pandemic plan help democrats election,fake
160,health equity opportunity healthy possible address longstande inequity racial ethnic group high risk hashtagcovid learn cdc covid hashtaghealthequity strategy,real
161,product page offer toxic chlorine dioxide industrial bleach sell miracle mineral solution hashtagcovid cure report guardian,fake
162,recent date confirm data north carolina th infection rate mean covid case slowly increase,real
163,possible vaccine available end year csa patrick vallance say vaccine available small amount certain group add amore likely vaccine half year,real
164,phase dose allocate proportionally participate country simultaneously reduce overall risk phase consideration give country relation threat vulnerability hashtagcovid,real
165,great news hashtagcarona virus vaccine ready able cure patient hour injection hat scientist right trump announce roche medical company launch vaccine sunday millions dose ready note message require confirmation,fake
166,state report death trend good,real
167,new case hashtagcovid lago oyo fct niger borno jigawa kaduna anambra edo river nasarawa bauchi benue zamfara case hashtagcovid nigeria discharge death,real
168,twofold increase mortality coronavirus patient hashtaghypertension,real
169,july days state report new hashtagcovid case wear cloth face coverings ft wash hand interested datum state covid data tracker,real
170,covid go away beach today raleigh north carolina,fake
171,pope francis die coronavirus,fake
172,new case hashtagcovidnigeria lagos plateau oyo fct edo kaduna enugu ogun kano kwara cross river ondo river ekiti imo borno confirm discharge death,real
173,people offer prayer group rooftop despite lockdown case coronavirus india continuously increase,fake
174,access hashtagcovid tool act accelerator aim provide equitable access tool tackle form hashtagcovid disease asymptomatic mild severe disease,real
175,positive rate fall lot early april like lot change drive rise test plummet positive rate northeast,real
176,rt uk government announce million support prof robin shattock team phase trial,real
177,open vacancy nurse doctor health professional work temporary hospital paulo treat covid case,fake
178,photo funeral recently deceased sri lankan politician arumugam thondaman share thousand time multiple facebook post post claim image show thondaman daughter violate sri lanka mandatory coronavirus quarantine policy traveler attend ceremony shortly return country overseas,fake
179,morning identify close contact tokoroa health professional currently hospital covid contacted expect contact remainder today,real
180,place free hashtagcovid pacific help country region step effort prepare arrival covidbackhandindexpointingright hashtagwhoimpact,real
181,new covidview report hospitalization rate death hashtagcovid increase indicator track hospitalization death usually lag indicator track illness,real
182,true coronavirus cause sore throat gargle salt warm water feel well direct effect virus hashtagcovid hashtagafaracare,fake
183,dna vaccine show work rhesus monkey expose vaccinate monkey covid virus lung read study gt,real
184,important strategy deal doomsday scenario hashtagcovid flu measle,real
185,old child spread covid like adult,real
186,grateful support provide ambulance nigeria hashtagcovid response port health service kano edo oyo state emergency operation centre expand current capacity transportation case,real
187,sadly people hospital today country covid ward north shore hospital icu north shore waikato hospital hope speedy recovery,real
188,indian politician uddhav thackeray ask christians pray jesus stop covid,fake
189,average number case nationwide flatten past week break downward trend see begin august,real
190,positive coronavirus case nagpur doctor ventilator,fake
191,late cdc hashtagcovidview report show minority population like american indian black hispanic continue hospitalize hashtagcovid nearly time rate nonhispanic white counterpart learn,real
192,kia ora new zealand resident citizen child partner permit enter new zealand,real
193,hashtagindiafightscorona test track treat effective implementation centre statesut ensure india low hashtagcovid case death million population compare country,real
194,hashtagindiafightscorona union health ministry urge statesut ensure restriction impose movement medical oxygen state,real
195,study covid likely mix seattle early flu season,real
196,photo show people infect coronavirus lie sidewalk china,fake
197,hashtagindiafightscorona active case total hashtagcovid case recovery lakh exceed active case lakh,real
198,state like new york illinois california vocal demand funding bail pension system fail long covid outbreak program aren related crisis,fake
199,news antivaxxer close decide medical condition pretend cause coronavirus vaccine,fake
200,hashtagcoronavirusupdate roundpushpintotal hashtagcovid case india september playbutton cureddischargedmigrate playbutton active case playbutton death total covid confirm case cureddischargedmigratedactive casesdeath,real
201,new case hashtagcovid lago fct bauchi river oyo kaduna gombe edo ogun jigawa enugu kano osun ondo case hashtagcovidnigeria discharged death,real
202,florida number today include large number backlogge test state say,real
203,local lockdown measure impose welsh county rhondda cynon taf rise coronavirus case,real
204,announce algeria outside danger covid,fake
205,state report nearly k case today day positive rate highest late,real
206,vast majority student st dominic casual contact test precaution student staff symptom covid need selfisolate waiting test result,real
207,prime minister boris johnson say government shortly set priority group think covid test follow live update pm face question liaison committee,real
208,antibodie common cold produce positive covid test falsepositive result covid antibody test covid case report,fake
209,child year represent report hashtagcovid case death compare age group usually mild disease backhandindexpointingright,real
210,man beat deoria india lockdown time,fake
211,daily update publish track million test k yesterday note track test state report detail,real
212,coronavirus like broken leg,fake
213,photo mass flee myanmar thailand coronavirus pandemic,fake
214,georgia particularly worrisome state see large rise report death despite rise infection steep hospitalization curve today state report secondhighest death begin pandemic high number april,real
215,new finding confirm early research show major increase physician employment hospital past decade,real
216,ireland entire cabinet restrict movement health minister feel unwell test hashtagcoronavirus report,real
217,backdrop lockdown video wild animal take road surface internet set picture herd deer round social medium claim picture lake club chandigarh,fake
218,report death toll today friday states report death today ny pa,real
219,optimistic point state leave chart find positive case lot testing suggest mitigation strategy work,real
220,thank extremely insightful trust website follow provide good summary update covid follow good job recent video tout importance vitamin d elderberry thing,fake
221,florida break new york day average record case million population today testing capacity obviously great spring stunning record fall,real
222,outbreak continue people united states point time year expose hashtagcovid likely sick people likely mild illness,real
223,sir ganga ram hospital direct patient stay home n treat urself imply delhi govt miserably fail administrative responsibility provide health care n leave delhite fate sack n lg charge u agree,fake
224,previously report case consider recover total number active case import case miq facility community case,real
225,joe diffie death label covid death wasn,fake
226,modeling assumption assume baseline general hospital occupancy rate hospital account hospitalize noncovid patient assume hospital increase available bed covid patient roughly double,real
227,bame doctor uk give access potentially lifesave covid risk assessment,real
228,daily update publish state report k test k case death,real
229,doctor name leslie chow discover coronavirus die contact coronavirus patient,fake
230,number new case remain relatively flat regional datum show steady state new case region scale population,real
231,yesterday lab process test total number test complete date people link community cluster auckland quarantine facility include people test positive household contact,real
232,coronavirus hospital urgent plea people havery busy e covid test,real
233,rightmove say activity aid current stamp duty holiday drive high demand garden space work home hashtagcovid disrupt daytoday life,real
234,say covid virus,fake
235,flight facility time case treat close contact test isolate negative result receive,real
236,don state provide negative result frequency comprehensiveness point don think positive rate important indicator,real
237,new case hashtagcovidnigeria lago fct plateau kaduna ogun kwara ebonyi ekiti oyo borno edo kano nasarawa osun taraba gombe bauchi confirm discharged death,real
238,hashtagtamilnadu govt total sample test hashtagcovid sep hashtagcovid hashtagcovid hashtagcovid hashtagcovid hashtagcovidindia hashtagcorona hashtagcoronavirus hashtagcoronavirusindia hashtagcoronaviruspandemic hashtagcoronavirusupdate hashtagcovidupdate hashtagcoronaupdate hashtagcoronaupdatesindia,real
239,trump effort blame obama sluggish coronavirus testing,fake
240,change track pende number state total erratically second tracking number state broaden grade criterion make major change website,real
241,hashtagindiafightscorona india climb historic peak lakh test lakh test hour,real
242,state report newly discover case today week low exact match tuesday newcase number,real
243,public broadcast rtve publish map coronavirus case spain fact map penis average size different region,fake
244,allegheny county pa department emergency service diverse source response planning include covid act,real
245,aaj tak news report chinese prime minister say read quran offer namaz cure covid,fake
246,aug national forecast suggest new weekly hashtagcovid death decrease come week new death week end sept forecast predict k k total covid death sept,real
247,developer bank tell government spend ireland share eu trillion covid recovery fund,fake
248,promise viable vaccine develop covid virus think rehire judith mikovit live scientific encyclopedia viral research involve scientific research permit,fake
249,nancy pelosi suggest coronavirus c rename c honor president trump hashtagdonaldtrump,fake
250,rt child wear hashtagmask safely facewithmedicalmaskbackhandindexpointingdowndarkskintone child clean handssoapopenhandsdarkskintonedroplet maintain safe distancestraightruler stop spread,real
251,maralago test positive coronavirus hashtagdonaldtrump hashtagcoronavirus hashtagmikepence hashtagmaralago hashtagkayleighmcenany,fake
252,covid vaccine oxford university success people cure,fake
253,confirmation early today second death link covid day mean number covid relate death new zealand,real
254,photo show french nurse hold sign denounce police violence,fake
255,daily update publish state report k new case covid solid k test covid death today day average death,real
256,warn consume cabbage prevent covid,fake
257,hashtagcoronavirusupdate roundpushpintotal hashtagcovid case india september playbutton cureddischargedmigrate playbutton active case playbutton death total covid confirm case cureddischargedmigratedactive casesdeath,real
258,weekend lag effect pronounce death report example week report death monday tues az report death mon tue today az report death datum output complicate human process,real
259,know strong weekend effect hit sunday monday especially report covid death sunday highlight red,real
260,new infection maharashtra record high singleday spike state far start pm tomorrow manipur complete lockdown day bhopal madhya pradesh impose citywide lockdown july august hashtagcovid hashtagcoronavirusfact,fake
261,louisiana post record case count backtoback report saturday positive thread compare hospitalization case chart clear diagnose infection la peak test today,real
262,whatsapp forward attribute cnn claims dr li wenliang whistleblower chinese government propaganda covid document research report accord report chemical like methylxanthine theobromine theophylline stimulate compound ward virus human body average perform immune system,fake
263,debunk misinformation coronavirus hoax travel fast number cause grow outbreak need clarification,fake
264,detail sharp observer livestream,real
265,person release quarantine isolation pose risk spread hashtagcovid people share fact hashtagcoronavirus disease,real
266,pandemic open door physician online learn physician new medscape report find,real
267,young people great chance kill hpv vaccine covid,fake
268,pandemic,fake
269,grow number state city require face cover leave home learn good material face mask properly wear care,real
270,amoxi capsule medicine completely cure covid egyptian health minister arrive italy secret coronavirus cure dr charles lieber harvard professor arrest usa manufacturing coronavirus sell china video news report wcvb tv station boston massachusetts share facebook post mountain matterhorn switzerland light colours indian flag token gratitude india send hydroxychloroquine alazhar imam say consider exception ramadan fast research say mouth keep wet prevent covid japanese nobel tasuku honjo say coronavirus create wuhan laboratory man collapse minute show covid symptom india celebrity spread misinformation coronavirus janata curfew india multiple post share repeatedly facebook twitter march claim israel report zero death novel coronavirus cause disease covid post claim israeli citizen protect covid drinking remedy hot water lemon bake soda purportedly kill virus cdc suddenly lose death coronavirus datum prove virus photo coronavirus patient treat road italy indian actor shah rukh khan donate money pakistan fight coronavirus help india russian president vladimir putin order russia population stay home day face year jail indian army setup bed quarantine facility rajasthan barmer leonardo da vinci hospital covid reference hospital fortaleza brazil video prove area open public president trump claim inherit ventilator obama administration audio unidentified person link virus cause covid massive flu vaccination campaign black body bag refer death new york reason lockdown essential mustard oil prevent person getting infect covid north carolina health department tell hospital decide elective surgery win eligible receive protective equipment state coronavirus pandemic chinese president say china time lead world nurse boris johnson claim save life register uk claim india ministry home affairs punishable offense citizen publish post social medium novel coronavirus share repeatedly facebook twitter whatsapp say nancy pelosi catch try include abortion funding bill combat coronavirus video man rebuke foreigner view thousand time social medium alongside claim guinean government order arrest chinese national country await safe return guineans china country earth protest lock photo kurnool mla hafeez khan make nurse touch foot religious head viswabharathi medical college come covid quarantine facility new york state governor show data prove isolation ineffective covid homeopathic product oscillococcinum protect covid cdc admit lie covid death stat notice prepare emergency drug release social medium alumnus seoul national university college medicine belgian doctor turn director dr li wenliang chinese whistleblower doctor propose drink tea cure covid person arrest violate lockdown night bail lockdown state gujarat india president donald trump test positive covid picture quote doctor vincenzo puro allegedly say asymptomatic people infect virus lethal pandemic hoax prince charles recover covid help ayurvedic treatment video show superintendent police announce extension lokckdown maharashtra india till whatsapp audio claim infanta sofa hospital madrid children condition covid child talavera de la reina hospital video show coronavirus patient doctor video claim nigerian government spend million import chinese doctor supply riot london unavailability food item united kingdom lock tonight army soldier uk street set claim pass instruction follow covid pandemic period facebook post claim latvian app apturi covid stop covid create warn people close infect person government track people contact list record location aaj tak channel air program say drink alcohol smoking weed cure covid president donald trump tweet coronavirus vaccine israel stock market economy strong israel good invention judaism olive wonderful vaccine stop corona dead world vaccine bomb possible peace create israel italy official giulio gallera china lie date china provide false italy wuhan medical system breakdown joo doria governor paulo forbid doctor chloroquine covid patient blog post share thousand time multiple facebook post claim show video baby die infected novel coronavirus cause disease covid vaccine coronavirus available video show policeman pick banknote stick link coronavirus vaccine works flu vaccine respiratory syncytial virus rsv cure cancer scientist vaccine covid month mumbai pune go military lockdown need defeat coronavirus consume alkaline food virus ph level indian actor aamir khan give rs poor people kg wheat flour photo show funeral turkish deceased general aytac yalman covid coronavirus responsible covid mix sar hiv doctor bakersfield california say press conference isolation measure affect immune system unrestrictive control country like sweden work article say vatican confirm pope assistants coronavirus herbal tea malunggay kamias leave cure covid disease cause novel coronavirus video police officer immobilize scream woman caption state beat police refuse house lockdown mina gerais brazil cuba low number covid death use hydroxychloroquine treat patient video doctor link antivaccine movement chinda brandolino origin covid confirmed case coronavirus bogot hospital video show migrant laborer surat city india send surat home state refuse state border ohio gov mike dewine release prisoner warn resident possible crime wave virus g cause disease death arrest federal bureau investigation fbi professor tie china connect coronavirus pandemic photo list purport symptom treatment novel coronavirus cause disease covid share hundred time multiple post facebook twitter instagram purport remedy include daily dose vitamin exposure sunlight diet alkaline food police catch coronavirus positive patient road second viral video man lift shirt challenge aa police officer point gun police officer kick man pin road make arrest text overlay video read italy say lockdown mean,fake
271,late cdc hashtagcovidview report show weekly hospitalization associate hashtagcovid peak twice outbreak begin week end april second time week end july learn,real
272,coronavirus spread banana,fake
273,kia ora vincent sorry issue app ministry health team email query andor feedback app tracingappfeedbackgovtnz,real
274,hashtagindiafightscorona focus effective effort containment testing isolation treatment result increase percentage recovery rate steadily fall percentage active case,real
275,total number confirm case covid number report world health organization yesterday laboratory process test bring total number test complete date,real
276,china president xi jinping visit masjid request muslims dua present crisis country go throughwe need help,fake
277,video italian representative sara cunial tell truth bill gates control world population vaccine medical experiment,fake
278,message circulate claim kin die covid claim insurance pradhan mantri jeevan jyoti bima yojana pmjjby pradhan mantri suraksha bima yojana pmsby,fake
279,test positive antibodie virus cause hashtagcovid mean likely past infection know antibody protect getting infect learn antibody testing,real
280,rt recover case time number active case people recover far activ,real
281,time bilateral vaccine deal vaccine nationalism compromise equitable access hold progress country bring hashtagcovid pandemic end,real
282,nevada quietly reverse decision block hcq prescription covid,fake
283,hashtagcoronavirus hashtagcovid hashtagnyc people see stay homehorrible hashtagstayhome hashtagstayathome hashtagstaysafe hashtagnyc hashtagnyclockdown hashtagfridayfeeling,fake
284,soon flu vaccine flu know get flu vaccine get flu st person knowledge conjecture alt organic dk green protein exercise ho sodium bicarbonate d c iodine etc jesus physician greatest,fake
285,watch video remember incident zomato deepinder big deal refuse delivery muslim guy incident trust want eat food contaminate spit,fake
286,world health organization international entity sole responsibility alert world global pandemic like miss huge problem,fake
287,rt covax groundbreake way pool r d procurement risk multiple vaccine enable country place collect,real
288,put facemask skin get lockdown gt gt gt,fake
289,yesterday laboratory complete test bring total complete date low testing volume regularly observe weekend symptom covid healthline gp get test free,real
290,total number confirm case number report world health organization,real
291,madhya pradesh reimpose lockdown rise covid case,fake
292,group aside people compassionate exemption people complete day manage isolation reminder manage isolation facility june speak healthline,real
293,healthcare worker scare people win wear mask,real
294,case pick routine testing day case isolation wellington consider recoveredrecovered day onset symptom hour asymptomatic return negative test,real
